timestamp, memory.used [MiB]
2026/05/29 03:53:20.532, 2860 MiB
2026/05/29 03:53:21.532, 2860 MiB
2026/05/29 03:53:22.534, 2864 MiB
2026/05/29 03:53:23.534, 2864 MiB
2026/05/29 03:53:24.534, 4124 MiB
2026/05/29 03:53:25.534, 6520 MiB
2026/05/29 03:53:26.535, 6520 MiB
2026/05/29 03:53:27.535, 6524 MiB
2026/05/29 03:53:28.535, 5004 MiB
2026/05/29 03:53:29.536, 2864 MiB
2026/05/29 03:53:30.536, 2860 MiB
2026/05/29 03:53:31.536, 2860 MiB
2026/05/29 03:53:32.537, 2864 MiB
2026/05/29 03:53:33.537, 2864 MiB
2026/05/29 03:53:34.537, 2864 MiB
2026/05/29 03:53:35.538, 2860 MiB
2026/05/29 03:53:36.538, 2860 MiB
2026/05/29 03:53:37.538, 2864 MiB
2026/05/29 03:53:38.539, 2864 MiB
2026/05/29 03:53:39.539, 2864 MiB
2026/05/29 03:53:40.539, 2860 MiB
2026/05/29 03:53:41.540, 2860 MiB
2026/05/29 03:53:42.540, 2864 MiB
2026/05/29 03:53:43.540, 2864 MiB
2026/05/29 03:53:44.541, 2864 MiB
2026/05/29 03:53:45.541, 2864 MiB
2026/05/29 03:53:46.543, 2860 MiB
2026/05/29 03:53:47.543, 2864 MiB
2026/05/29 03:53:48.543, 2864 MiB
2026/05/29 03:53:49.544, 2864 MiB
2026/05/29 03:53:50.544, 2864 MiB
2026/05/29 03:53:51.544, 2860 MiB
2026/05/29 03:53:52.545, 2864 MiB
2026/05/29 03:53:53.546, 2864 MiB
2026/05/29 03:53:54.547, 2864 MiB
2026/05/29 03:53:55.547, 2864 MiB
2026/05/29 03:53:56.548, 2860 MiB
2026/05/29 03:53:57.548, 2864 MiB
2026/05/29 03:53:58.548, 2864 MiB
2026/05/29 03:53:59.549, 2864 MiB
2026/05/29 03:54:00.549, 2864 MiB
2026/05/29 03:54:01.549, 2860 MiB
2026/05/29 03:54:02.559, 2864 MiB
2026/05/29 03:54:03.559, 2864 MiB
2026/05/29 03:54:04.560, 2864 MiB
2026/05/29 03:54:05.561, 2864 MiB
2026/05/29 03:54:06.562, 2860 MiB
2026/05/29 03:54:07.562, 6524 MiB
2026/05/29 03:54:08.563, 6524 MiB
2026/05/29 03:54:09.563, 6524 MiB
2026/05/29 03:54:10.563, 6524 MiB
